GEO,population,val_norm,Date,Cause of death (ICD-10),rate
Canada,38246108,5050,2019-09-07,"Total, all causes of death [A00-Y89]",13
Canada,38246108,1530,2019-09-07,Malignant neoplasms [C00-C97],4
Canada,38246108,105,2019-09-07,Diabetes mellitus [E10-E14],0
Canada,38246108,95,2019-09-07,Alzheimer's disease [G30],0
Canada,38246108,900,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
Canada,38246108,260,2019-09-07,Cerebrovascular diseases [I60-I69],1
Canada,38246108,75,2019-09-07,Influenza and pneumonia [J09-J18],0
Canada,38246108,205,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Canada,38246108,60,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Canada,38246108,285,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Canada,38246108,65,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Canada,38246108,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Canada,38246108,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Canada,38246108,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Canada,38246108,135,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Canada,38246108,,2019-09-07,Information unavailable,
Canada,38246108,1330,2019-09-07,All other causes of death,3
Newfoundland and Labrador,520553,95,2019-09-07,"Total, all causes of death [A00-Y89]",18
Newfoundland and Labrador,520553,25,2019-09-07,Malignant neoplasms [C00-C97],5
Newfoundland and Labrador,520553,0,2019-09-07,Diabetes mellitus [E10-E14],0
Newfoundland and Labrador,520553,0,2019-09-07,Alzheimer's disease [G30],0
Newfoundland and Labrador,520553,15,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Newfoundland and Labrador,520553,5,2019-09-07,Cerebrovascular diseases [I60-I69],1
Newfoundland and Labrador,520553,0,2019-09-07,Influenza and pneumonia [J09-J18],0
Newfoundland and Labrador,520553,5,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Newfoundland and Labrador,520553,5,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",1
Newfoundland and Labrador,520553,0,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Newfoundland and Labrador,520553,5,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",1
Newfoundland and Labrador,520553,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Newfoundland and Labrador,520553,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Newfoundland and Labrador,520553,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Newfoundland and Labrador,520553,0,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Newfoundland and Labrador,520553,,2019-09-07,Information unavailable,
Newfoundland and Labrador,520553,25,2019-09-07,All other causes of death,5
Prince Edward Island,164318,35,2019-09-07,"Total, all causes of death [A00-Y89]",21
Prince Edward Island,164318,5,2019-09-07,Malignant neoplasms [C00-C97],3
Prince Edward Island,164318,0,2019-09-07,Diabetes mellitus [E10-E14],0
Prince Edward Island,164318,0,2019-09-07,Alzheimer's disease [G30],0
Prince Edward Island,164318,5,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Prince Edward Island,164318,5,2019-09-07,Cerebrovascular diseases [I60-I69],3
Prince Edward Island,164318,0,2019-09-07,Influenza and pneumonia [J09-J18],0
Prince Edward Island,164318,5,2019-09-07,Chronic lower respiratory diseases [J40-J47],3
Prince Edward Island,164318,0,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Prince Edward Island,164318,5,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3
Prince Edward Island,164318,0,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Prince Edward Island,164318,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Prince Edward Island,164318,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Prince Edward Island,164318,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Prince Edward Island,164318,0,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Prince Edward Island,164318,,2019-09-07,Information unavailable,
Prince Edward Island,164318,10,2019-09-07,All other causes of death,6
Nova Scotia,992055,150,2019-09-07,"Total, all causes of death [A00-Y89]",15
Nova Scotia,992055,55,2019-09-07,Malignant neoplasms [C00-C97],6
Nova Scotia,992055,10,2019-09-07,Diabetes mellitus [E10-E14],1
Nova Scotia,992055,5,2019-09-07,Alzheimer's disease [G30],1
Nova Scotia,992055,25,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Nova Scotia,992055,5,2019-09-07,Cerebrovascular diseases [I60-I69],1
Nova Scotia,992055,0,2019-09-07,Influenza and pneumonia [J09-J18],0
Nova Scotia,992055,5,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Nova Scotia,992055,0,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nova Scotia,992055,10,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Nova Scotia,992055,0,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Nova Scotia,992055,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Nova Scotia,992055,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Nova Scotia,992055,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Nova Scotia,992055,0,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Nova Scotia,992055,,2019-09-07,Information unavailable,
Nova Scotia,992055,35,2019-09-07,All other causes of death,4
New Brunswick,789225,140,2019-09-07,"Total, all causes of death [A00-Y89]",18
New Brunswick,789225,35,2019-09-07,Malignant neoplasms [C00-C97],4
New Brunswick,789225,10,2019-09-07,Diabetes mellitus [E10-E14],1
New Brunswick,789225,5,2019-09-07,Alzheimer's disease [G30],1
New Brunswick,789225,20,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
New Brunswick,789225,10,2019-09-07,Cerebrovascular diseases [I60-I69],1
